event_id,config_pt50_eta-4.0_4.0_neutralsTrue_secondariesTrue,config_pt50_eta-4.0_4.0_neutralsTrue_secondariesFalse,config_pt50_eta-4.0_4.0_neutralsFalse_secondariesTrue,config_pt50_eta-4.0_4.0_neutralsFalse_secondariesFalse,config_pt50_eta-3.0_3.0_neutralsTrue_secondariesTrue,config_pt50_eta-3.0_3.0_neutralsTrue_secondariesFalse,config_pt50_eta-3.0_3.0_neutralsFalse_secondariesTrue,config_pt50_eta-3.0_3.0_neutralsFalse_secondariesFalse,config_pt100_eta-4.0_4.0_neutralsTrue_secondariesTrue,config_pt100_eta-4.0_4.0_neutralsTrue_secondariesFalse,config_pt100_eta-4.0_4.0_neutralsFalse_secondariesTrue,config_pt100_eta-4.0_4.0_neutralsFalse_secondariesFalse,config_pt100_eta-3.0_3.0_neutralsTrue_secondariesTrue,config_pt100_eta-3.0_3.0_neutralsTrue_secondariesFalse,config_pt100_eta-3.0_3.0_neutralsFalse_secondariesTrue,config_pt100_eta-3.0_3.0_neutralsFalse_secondariesFalse,config_pt150_eta-4.0_4.0_neutralsTrue_secondariesTrue,config_pt150_eta-4.0_4.0_neutralsTrue_secondariesFalse,config_pt150_eta-4.0_4.0_neutralsFalse_secondariesTrue,config_pt150_eta-4.0_4.0_neutralsFalse_secondariesFalse,config_pt150_eta-3.0_3.0_neutralsTrue_secondariesTrue,config_pt150_eta-3.0_3.0_neutralsTrue_secondariesFalse,config_pt150_eta-3.0_3.0_neutralsFalse_secondariesTrue,config_pt150_eta-3.0_3.0_neutralsFalse_secondariesFalse,config_pt200_eta-4.0_4.0_neutralsTrue_secondariesTrue,config_pt200_eta-4.0_4.0_neutralsTrue_secondariesFalse,config_pt200_eta-4.0_4.0_neutralsFalse_secondariesTrue,config_pt200_eta-4.0_4.0_neutralsFalse_secondariesFalse,config_pt200_eta-3.0_3.0_neutralsTrue_secondariesTrue,config_pt200_eta-3.0_3.0_neutralsTrue_secondariesFalse,config_pt200_eta-3.0_3.0_neutralsFalse_secondariesTrue,config_pt200_eta-3.0_3.0_neutralsFalse_secondariesFalse
0,584262,167459,165503,86393,473371,144513,140560,73822,549890,148087,157794,83413,444346,129644,135633,72607,488480,130962,145951,78707,385363,113724,123491,68358,436491,115630,134069,72372,341799,100667,112148,63295
1,671994,181286,182512,92316,537608,158310,154546,80476,593199,162516,169555,89818,466649,141373,141345,78020,544569,142460,159693,83430,435894,126002,135516,74275,485733,125999,144385,77402,387134,109214,123242,67018
2,832051,235022,229948,118602,682554,203807,196943,102771,761282,210475,218502,115695,611787,181708,185519,99245,696665,186141,205821,108788,562625,162195,174115,94732,621673,164869,187159,99998,509666,143659,160583,87344
3,671994,181286,182512,92316,537608,158310,154546,80476,593199,162516,169555,89818,466649,141373,141345,78020,544569,142460,159693,83430,435894,126002,135516,74275,485733,125999,144385,77402,387134,109214,123242,67018
4,832051,235022,229948,118602,682554,203807,196943,102771,761282,210475,218502,115695,611787,181708,185519,99245,696665,186141,205821,108788,562625,162195,174115,94732,621673,164869,187159,99998,509666,143659,160583,87344
5,729678,206062,199895,103893,598349,178128,173257,89689,672712,184565,190327,101407,552741,159319,165941,87174,615696,164482,177810,95830,482160,142552,152638,83320,539383,145041,162732,88766,438118,127255,138890,78167
6,832051,235022,229948,118602,682554,203807,196943,102771,761282,210475,218502,115695,611787,181708,185519,99245,696665,186141,205821,108788,562625,162195,174115,94732,621673,164869,187159,99998,509666,143659,160583,87344
7,729678,206062,199895,103893,598349,178128,173257,89689,672712,184565,190327,101407,552741,159319,165941,87174,615696,164482,177810,95830,482160,142552,152638,83320,539383,145041,162732,88766,438118,127255,138890,78167
8,791023,215779,218365,111338,635877,188652,184358,96908,713658,192268,206880,108530,574288,168116,175174,94649,652084,171195,191279,102388,513279,149928,158958,89694,575777,151175,174602,94745,467178,131841,149306,82633
9,729678,206062,199895,103893,598349,178128,173257,89689,672712,184565,190327,101407,552741,159319,165941,87174,615696,164482,177810,95830,482160,142552,152638,83320,539383,145041,162732,88766,438118,127255,138890,78167
10,791023,215779,218365,111338,635877,188652,184358,96908,713658,192268,206880,108530,574288,168116,175174,94649,652084,171195,191279,102388,513279,149928,158958,89694,575777,151175,174602,94745,467178,131841,149306,82633
11,709367,201385,196783,101949,582084,174114,169844,88043,664389,179777,190899,99424,519607,156365,158742,85859,593726,159991,176160,93907,470620,139460,148992,82061,532499,141338,160873,86713,426807,122986,135707,75141
12,791023,215779,218365,111338,635877,188652,184358,96908,713658,192268,206880,108530,574288,168116,175174,94649,652084,171195,191279,102388,513279,149928,158958,89694,575777,151175,174602,94745,467178,131841,149306,82633
13,709367,201385,196783,101949,582084,174114,169844,88043,664389,179777,190899,99424,519607,156365,158742,85859,593726,159991,176160,93907,470620,139460,148992,82061,532499,141338,160873,86713,426807,122986,135707,75141
14,674550,189963,189125,98056,532440,162852,159860,83845,601642,170086,176937,95481,491113,146810,152561,82718,559579,150811,169470,90079,441697,130386,141105,77831,482975,133922,149940,83173,391576,115039,128931,71446
15,709367,201385,196783,101949,582084,174114,169844,88043,664389,179777,190899,99424,519607,156365,158742,85859,593726,159991,176160,93907,470620,139460,148992,82061,532499,141338,160873,86713,426807,122986,135707,75141
16,674550,189963,189125,98056,532440,162852,159860,83845,601642,170086,176937,95481,491113,146810,152561,82718,559579,150811,169470,90079,441697,130386,141105,77831,482975,133922,149940,83173,391576,115039,128931,71446
17,764127,212109,210562,107153,598327,184333,174454,92449,695566,190027,198660,104916,557776,162899,168423,89641,633997,168324,186226,98725,493370,145055,153698,84958,556869,147930,166915,90494,437820,127445,141300,77822
18,674550,189963,189125,98056,532440,162852,159860,83845,601642,170086,176937,95481,491113,146810,152561,82718,559579,150811,169470,90079,441697,130386,141105,77831,482975,133922,149940,83173,391576,115039,128931,71446
19,764127,212109,210562,107153,598327,184333,174454,92449,695566,190027,198660,104916,557776,162899,168423,89641,633997,168324,186226,98725,493370,145055,153698,84958,556869,147930,166915,90494,437820,127445,141300,77822
20,785541,217085,218238,111753,624240,188991,185259,96834,707772,194513,206117,109075,579161,168124,175805,94206,651469,172568,193615,103092,518644,148761,164095,88196,568181,153119,175658,95683,470983,131977,150321,81789
21,764127,212109,210562,107153,598327,184333,174454,92449,695566,190027,198660,104916,557776,162899,168423,89641,633997,168324,186226,98725,493370,145055,153698,84958,556869,147930,166915,90494,437820,127445,141300,77822
22,785541,217085,218238,111753,624240,188991,185259,96834,707772,194513,206117,109075,579161,168124,175805,94206,651469,172568,193615,103092,518644,148761,164095,88196,568181,153119,175658,95683,470983,131977,150321,81789
23,702205,198624,197039,101105,560329,172203,165481,87533,651142,176607,186686,97800,527599,154112,160606,85718,581617,156553,175659,92579,466853,135785,146811,80450,512893,137762,156481,84643,418502,120093,134416,74357
24,785541,217085,218238,111753,624240,188991,185259,96834,707772,194513,206117,109075,579161,168124,175805,94206,651469,172568,193615,103092,518644,148761,164095,88196,568181,153119,175658,95683,470983,131977,150321,81789
25,702205,198624,197039,101105,560329,172203,165481,87533,651142,176607,186686,97800,527599,154112,160606,85718,581617,156553,175659,92579,466853,135785,146811,80450,512893,137762,156481,84643,418502,120093,134416,74357
26,781587,218234,217127,111487,636295,188540,184122,96820,716767,194049,208286,108112,572509,167682,173773,93939,658447,171736,193016,101832,526825,148840,163107,88404,568434,151255,171730,93854,457149,131363,146708,81864
27,702205,198624,197039,101105,560329,172203,165481,87533,651142,176607,186686,97800,527599,154112,160606,85718,581617,156553,175659,92579,466853,135785,146811,80450,512893,137762,156481,84643,418502,120093,134416,74357
28,781587,218234,217127,111487,636295,188540,184122,96820,716767,194049,208286,108112,572509,167682,173773,93939,658447,171736,193016,101832,526825,148840,163107,88404,568434,151255,171730,93854,457149,131363,146708,81864
29,704811,194661,196374,99323,569189,169069,165486,85755,638366,173728,183918,97162,516155,150423,155277,83840,573364,154251,170053,91624,459857,133452,146364,79207,520959,135602,154900,83718,418726,116944,131594,72084
30,781587,218234,217127,111487,636295,188540,184122,96820,716767,194049,208286,108112,572509,167682,173773,93939,658447,171736,193016,101832,526825,148840,163107,88404,568434,151255,171730,93854,457149,131363,146708,81864
31,704811,194661,196374,99323,569189,169069,165486,85755,638366,173728,183918,97162,516155,150423,155277,83840,573364,154251,170053,91624,459857,133452,146364,79207,520959,135602,154900,83718,418726,116944,131594,72084
32,649511,186055,181403,95964,523665,160516,155410,82175,583764,165995,172984,93687,480232,143319,148498,80762,547271,147331,163432,88248,436920,127627,140499,76648,486974,128001,148633,80733,395493,110064,128139,69051
33,704811,194661,196374,99323,569189,169069,165486,85755,638366,173728,183918,97162,516155,150423,155277,83840,573364,154251,170053,91624,459857,133452,146364,79207,520959,135602,154900,83718,418726,116944,131594,72084
34,649511,186055,181403,95964,523665,160516,155410,82175,583764,165995,172984,93687,480232,143319,148498,80762,547271,147331,163432,88248,436920,127627,140499,76648,486974,128001,148633,80733,395493,110064,128139,69051
35,699010,195681,194932,99139,568076,168596,163883,85123,639545,175260,182904,97074,506547,150654,155971,83276,580130,155657,171041,91956,460801,133820,146932,79449,524430,136815,156445,84437,407926,118155,130706,73312
36,649511,186055,181403,95964,523665,160516,155410,82175,583764,165995,172984,93687,480232,143319,148498,80762,547271,147331,163432,88248,436920,127627,140499,76648,486974,128001,148633,80733,395493,110064,128139,69051
37,699010,195681,194932,99139,568076,168596,163883,85123,639545,175260,182904,97074,506547,150654,155971,83276,580130,155657,171041,91956,460801,133820,146932,79449,524430,136815,156445,84437,407926,118155,130706,73312
38,576637,169344,166422,85647,462277,146367,138125,73509,519951,150924,155482,83031,420235,131273,132270,72256,484220,134464,147434,78671,386638,116124,124273,68055,432541,118637,136158,72519,351487,102394,116048,63114
39,699010,195681,194932,99139,568076,168596,163883,85123,639545,175260,182904,97074,506547,150654,155971,83276,580130,155657,171041,91956,460801,133820,146932,79449,524430,136815,156445,84437,407926,118155,130706,73312
40,576637,169344,166422,85647,462277,146367,138125,73509,519951,150924,155482,83031,420235,131273,132270,72256,484220,134464,147434,78671,386638,116124,124273,68055,432541,118637,136158,72519,351487,102394,116048,63114
41,811228,221938,223167,114395,632501,192320,186620,98371,725890,198757,209827,111204,578905,172312,177736,95545,659734,177045,198412,105219,532561,153308,165973,91154,593938,155430,177863,96895,464960,135055,149444,84030
42,576637,169344,166422,85647,462277,146367,138125,73509,519951,150924,155482,83031,420235,131273,132270,72256,484220,134464,147434,78671,386638,116124,124273,68055,432541,118637,136158,72519,351487,102394,116048,63114
43,811228,221938,223167,114395,632501,192320,186620,98371,725890,198757,209827,111204,578905,172312,177736,95545,659734,177045,198412,105219,532561,153308,165973,91154,593938,155430,177863,96895,464960,135055,149444,84030
